"","row id","country","iso3","latitude","longitude","glass_amr_enrolled","amr action plan","who_region","glass_status","nap_status_glass","number_of_priority_genomes","number_of_critical_genomes","number_of_klebsiella_genomes","nap_status_tracss","nap_type","surveillance_network","national_reference_lab","glass_status_metric","glass_data_metric","national_reference_lab_metric","surveillance_network_metric","number_of_priority_genomes_metric","number_of_critical_genomes_metric","number_of_klebsiella_genomes_metric"
"22",22,"Bosnia And Herzegovina","BIH","43.851977","18.386687","Y","N","EURO","Enrolled - Data submitted","No National Action Plan",NA,NA,NA,"No plan exists. ","N/A","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Partial",NA,NA,NA
"23",23,"Botswana","BWA","-24.658136","25.908847","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",851,707,137,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","No",NA,"No","No","500-1000","500-1000","100-500"
"24",24,"Brazil","BRA","-10.333333","-53.200000","Y","Y","AMRO","Enrolled - Data submitted","National Action Plan - Out of Date",3278,1104,280,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","100-500"
"25",25,"Brunei Darussalam","BRN","4.889545","114.941757","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes",NA,NA,NA
"26",26,"Bulgaria","BGR","42.697703","23.321736","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",146,131,14,NA,NA,NA,NA,"No",NA,NA,NA,"100-500","100-500","1-50"
"27",27,"Burkina Faso","BFA","12.368187","-1.527094","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",139,77,13,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","50-100","1-50"
"28",28,"Burundi","BDI","-3.427024","29.924678","Y","Y","AFRO","Enrolled - No data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","Yes",NA,NA,NA
"29",29,"Cambodia","KHM","11.573039","104.857807","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Out of Date",2519,1690,352,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","100-500"
"30",30,"Cameroon","CMR","3.868987","11.521334","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",58,10,1,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","50-100","1-50","1-50"
"31",31,"Canada","CAN","45.420878","-75.690111","Y","Y","AMRO","Enrolled - Data submitted","National Action Plan - Current",22811,10865,839,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","10000-50000","500-1000"
"32",32,"Cape Verde (Cabo Verde)","CPV","14.920490","-23.537220","N","Y","AFRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",1,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","1-50",NA,NA
"33",33,"Cayman Islands","CYM","19.703182","-79.917463","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"34",34,"Central African Republic","CAF","4.363512","18.583591","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",10,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No","1-50",NA,NA
"35",35,"Chad","TCD","12.119154","15.050276","Y","Y","AFRO","Enrolled - No data submitted","No National Action Plan",2,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","No","1-50",NA,NA
"36",36,"Chile","CHL","-33.437776","-70.650450","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Current",1831,1375,398,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1000-5000","1000-5000","100-500"
"37",37,"China","CHN","40.190632","116.412144","N","Y","WPRO","Not Enrolled - Data submitted","National Action Plan - Current",21569,13129,4210,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. "," ","No",NA,NA,"Yes","10000-50000","10000-50000","1000-5000"
"38",38,"Colombia","COL","4.711011","-74.072092","Y","Y","AMRO","Enrolled - Data submitted","No National Action Plan",993,915,500,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","500-1000","500-1000","100-500"
"39",39,"Comoros","COM","-11.693126","43.254304","N","Y","AFRO","Not Enrolled - No data submitted","National Action Plan - Current",5,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","1-50",NA,NA
"40",40,"Congo","COG","-4.269441","15.271226","N","N","AFRO","Not Enrolled - No data submitted","No National Action Plan",1,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50",NA,NA
"41",41,"Cook Islands","COK","-19.996972","-157.785871","N","Y","WPRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial",NA,NA,NA
"42",42,"Costa Rica","CRI","9.932543","-84.079578","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Current",125,74,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial","100-500","50-100",NA
"43",43,"Côte D'Ivoire (Ivory Coast)","CIV","6.820550","-5.276740","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Current",17,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1-50",NA,NA
"44",44,"Croatia","HRV","45.813097","15.977279","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",383,346,135,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","100-500","100-500"
"45",45,"Cuba","CUB","23.135305","-82.358963","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",4,4,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50","1-50",NA
"46",46,"Cyprus","CYP","35.174650","33.363878","Y","Y","EURO","Enrolled - Data submitted","No National Action Plan",106,86,5,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","100-500","50-100","1-50"
"47",47,"Czechia (Czech Republic)","CZE","50.088040","14.420760","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",1236,781,294,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"48",48,"Democratic People's Republic of Korea (North Korea)","PRK","38.985280","125.927780","Y","Y","SEARO","Enrolled - No data submitted","National Action Plan - Out of Date",1,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","No","Yes","Partial","1-50",NA,NA
"49",49,"Democratic Republic of the Congo","COD","-4.319698","15.342420","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",425,73,19,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","Yes","Yes","Yes","Yes","100-500","50-100","1-50"
"50",50,"Denmark","DNK","55.686724","12.570072","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",20889,6337,165,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","5000-10000","100-500"
