row id,country,iso3,latitude,longitude,glass_amr_enrolled,amr action plan,who_region,glass_status,nap_status_glass,number_of_genomes,genomes_present,nap_status_tracss,nap_type,surveillance_network,sentinel_sites,national_reference_lab,glass_status_metric,national_reference_lab_metric,number_of_genomes_numeric,number_of_genomes_metric,surveillance_network_metric
11,Azerbaijan,AZE,40.375588,49.832801,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,1,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",NA,Unknown ,No,NA,1,1–99,Yes
12,Bahamas,BHS,25.078227,-77.338344,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",B - National action plan on AMR endorsed by government.  ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",8,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,NA,NA,Yes
13,Bahrain,BHR,26.223504,50.582244,Y,Y,EMRO,Enrolled - Data submitted,No National Action Plan,52,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,52,1–99,Yes
14,Bangladesh,BGD,23.754453,90.393336,Y,Y,SEARO,Enrolled - Data submitted,National Action Plan - Out of Date,4644,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",38548,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,4644,"1,000–9,999",Yes
15,Barbados,BRB,13.097783,-59.618418,N,Y,AMRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",4,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,NA,NA,Yes
16,Belarus,BLR,53.902472,27.561823,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,86,Yes,NA,NA,NA,NA,NA,No,NA,86,1–99,NA
17,Belgium,BEL,50.846557,4.351697,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,5388,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",110,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,5388,"1,000–9,999",Yes
18,Belize,BLZ,17.250199,-88.770018,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",4,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,NA,NA,No
19,Benin,BEN,6.499072,2.625336,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,71,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",25,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,71,1–99,No
20,Bhutan,BTN,27.471355,89.633673,Y,Y,SEARO,Enrolled - Data submitted,National Action Plan - Out of Date,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. , ,4, ,Yes,NA,NA,NA,NA
21,Bolivia (Plurinational State of),BOL,-19.033320,-65.262740,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,114,Yes,No plan exists. ,N/A,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",44,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,114,100–999,Yes
22,Bosnia And Herzegovina,BIH,43.851977,18.386687,Y,N,EURO,Enrolled - Data submitted,No National Action Plan,NA,NA,No plan exists. ,N/A,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",7,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,NA,NA,Yes
23,Botswana,BWA,-24.658136,25.908847,N,N,AFRO,Not Enrolled - No data submitted,No National Action Plan,851,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",82,"No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ",No,No,851,100–999,No
24,Brazil,BRA,-10.333333,-53.200000,Y,Y,AMRO,Enrolled - Data submitted,National Action Plan - Out of Date,3278,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",26900,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,3278,"1,000–9,999",Yes
25,Brunei Darussalam,BRN,4.889545,114.941757,Y,Y,WPRO,Enrolled - Data submitted,National Action Plan - Out of Date,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",4,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,NA,NA,Yes
26,Bulgaria,BGR,42.697703,23.321736,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,146,Yes,NA,NA,NA,NA,NA,No,NA,146,100–999,NA
27,Burkina Faso,BFA,12.368187,-1.527094,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,139,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",249,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,139,100–999,Yes
28,Burundi,BDI,-3.427024,29.924678,Y,Y,AFRO,Enrolled - No data submitted,National Action Plan - Out of Date,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",11,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,NA,NA,Yes
29,Cambodia,KHM,11.573039,104.857807,Y,Y,WPRO,Enrolled - Data submitted,National Action Plan - Out of Date,2519,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",16,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,2519,"1,000–9,999",Yes
30,Cameroon,CMR,3.868987,11.521334,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,58,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",100,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,58,1–99,Yes
31,Canada,CAN,45.420878,-75.690111,Y,Y,AMRO,Enrolled - Data submitted,National Action Plan - Current,22811,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",200,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,22811,"10,000+",Yes
32,Cape Verde (Cabo Verde),CPV,14.920490,-23.537220,N,Y,AFRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,1,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",30,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1,1–99,Yes
33,Cayman Islands,CYM,19.703182,-79.917463,N,Y,AMRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA
34,Central African Republic,CAF,4.363512,18.583591,N,N,AFRO,Not Enrolled - No data submitted,No National Action Plan,10,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",2,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,10,1–99,No
35,Chad,TCD,12.119154,15.050276,Y,Y,AFRO,Enrolled - No data submitted,No National Action Plan,2,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",11,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,2,1–99,No
36,Chile,CHL,-33.437776,-70.650450,N,Y,AMRO,Not Enrolled - No data submitted,National Action Plan - Current,1831,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",703,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1831,"1,000–9,999",Yes
37,China,CHN,40.190632,116.412144,N,Y,WPRO,Not Enrolled - Data submitted,National Action Plan - Current,21569,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA, ,No,NA,21569,"10,000+",Yes
38,Colombia,COL,4.711011,-74.072092,Y,Y,AMRO,Enrolled - Data submitted,No National Action Plan,993,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",442,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,993,100–999,Yes
39,Comoros,COM,-11.693126,43.254304,N,Y,AFRO,Not Enrolled - No data submitted,National Action Plan - Current,5,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",6,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,5,1–99,Yes
40,Congo,COG,-4.269441,15.271226,N,N,AFRO,Not Enrolled - No data submitted,No National Action Plan,1,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",15,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,1,1–99,Yes
41,Cook Islands,COK,-19.996972,-157.785871,N,Y,WPRO,Not Enrolled - No data submitted,National Action Plan - Out of Date,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",1,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,NA,NA,Yes
42,Costa Rica,CRI,9.932543,-84.079578,N,Y,AMRO,Not Enrolled - No data submitted,National Action Plan - Current,125,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",125,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,125,100–999,Yes
43,Côte D'Ivoire (Ivory Coast),CIV,6.820550,-5.276740,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Current,17,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,17,1–99,Yes
44,Croatia,HRV,45.813097,15.977279,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,383,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,50,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,383,100–999,Yes
45,Cuba,CUB,23.135305,-82.358963,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,4,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",267,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,4,1–99,Yes
46,Cyprus,CYP,35.174650,33.363878,Y,Y,EURO,Enrolled - Data submitted,No National Action Plan,106,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",162,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,106,100–999,Yes
47,Czechia (Czech Republic),CZE,50.088040,14.420760,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,1236,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",117,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,1236,"1,000–9,999",Yes
48,Democratic People's Republic of Korea (North Korea),PRK,38.985280,125.927780,Y,Y,SEARO,Enrolled - No data submitted,National Action Plan - Out of Date,1,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",B - National action plan on AMR endorsed by government.  ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,1,1–99,Yes
49,Democratic Republic of the Congo,COD,-4.319698,15.342420,Y,Y,AFRO,Enrolled - Data submitted,National Action Plan - Out of Date,425,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",Yes,Yes,425,100–999,Yes
50,Denmark,DNK,55.686724,12.570072,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,20889,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ",E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,10,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,20889,"10,000+",Yes
51,Djibouti,DJI,11.560000,43.060000,Y,N,EMRO,Enrolled - Data submitted,No National Action Plan,32,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",5,"No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ",Yes,No,32,1–99,No
52,Dominica,DMA,15.424043,-61.341853,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",2,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,NA,NA,No
53,Dominican Republic,DOM,18.480197,-69.942111,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,113,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",38,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,113,100–999,Yes
